FRASE,LIBRO,AUTOR
"La necesidad de cambio que ves en los demás, es la necesidad de cambio que tienes que hacer en ti.",Vivir por Amor,
La mente no puede comprender aquello que rechaza.,Vivir por Amor,
"No es la vida la que tiene que cambiar, sino los conceptos que tienes acerca de ella.",Vivir por Amor,
" El cielo es un estado de consciencia un estado mental donde no existen simnoloso o pensamientos basados en e juicio o la percepción, sino que está basado en el más puro conocimiento y por ende en el amor",Vivir por Amor,
"Deja de buscar el amor, la abundancia, la felicidad fuera de ti. Busca en cambio las barreras que te has puesto para que no se manifiesten de forma natural en tu vida",Vivir por Amor,
"No conoces lo que ves, por eso lo juzgas. No conoces quien eres por eso te juzgas.",Vivir por Amor,
El espiritu santo es la idea de ti que esta más cerca a un estado de consciencia puro.,Vivir por Amor,
"El hijo de Dios no tiene que ser curado, perfeccionado, ni sanado. Tiene que ser despertado",Vivir por Amor,
Siempre has estado a una reinterpretación de ti mismo para ser feliz,Vivir por Amor,
"El autor del miedo no es Dios, el autor del miedo eres tu.",Vivir por Amor,
"Para el espiritu tener y ser Son lo mismo, por eso, un ser que es creado en lo infinito y por lo infinito, no puede vivir en la carencia. ",Vivir por Amor,
"La unic carencia que realmente necesitas corregir, es tu sensacion de estar separado de Dios.",Vivir por Amor,
La verdadera maestria se alcanza al comprender que jamas has sido maestro de nadie excepto de ti mismo y que pensarte como maestro impide que la lección pueda entrar en tu mente.,Vivir por Amor,
"No hay nadie en el mundo que haya nacido con la capacidad de ofenderte, a no ser que tu se lo permitas. Tu eres el unico responsable de la interpretación y el valor que le das a las palabras que escuchas. Alli radica tu poder.",Vivir por Amor,
"Cuando aprendas a no dejarte gobernar por las interpretaciones destructivas, experimentaras un aumento de confianza en ti misma.",Vivir por Amor,
Cuando un hermano proyecta un ataque esta pidiendo ayuda.,Vivir por Amor,
Es en el embarazo donde adquieres bases de tus programas mentales con el que saldras al mundo externo,Vivir por Amor,
Cuando estas en el vierntre de tu madre experimentas por primera vez las emociones fisicas. Y sera justamente las emociones más recuerentes que sienta tu madre durante la gestacion la mas familiares para ti.,Vivir por Amor,
"Es importante no pasar por alto lo que sientió tu madre, que suponia tu llegada, y que situacioens viivo durante el embarazo.",Vivir por Amor,
Cuanto más estudies el pasado más capacidades tendras de adivinar el futuro.,Vivir por Amor,
"Eres alumno y maestro de ti mismo. Siempre que re relaciones con lso demás estas decidiendo que lección quieres enseñarte a través de las ideas que compartes con ellso. Y aquello que te enseñes, es aquello que aprenderas. ",                             ,
El victimismo que el ego usa como recurso para nehar tu poder y proyectarlo fuera de ti,,
"Del mismo modo que el conflicto nace en la mente, se corrige dentro de ella, no fuera",,
¿De que base podrai servirse tu mente si no fuese por el pasado para elegir las relaciones que mantienen en el presente,,
"El ego quiere perpetuar el pasado, ya que tiene que recurrir a el para que recuerdes el daño que te hiieron para justificar tu ataque en el presente",,
"Las relaciones no se nos ha dado para que se esfuercen en hacenros deliz, se nos ha dado para aprender, Tu felicidd depende de ti y de nadie más que ti",,
"Recordar amar al otro, agradeciendole el papel perfecta que esta desempeñando para que puedas enseñarte auqello que necesitas aprender. O bien puedes seguir usando tu relación coo recurso propio para intentar cubrir tus necesidades y caprichos emocionales, enseñandote todo auqello que comparte a traves del otro, manteniendo en la misma casilla del juego durante el resto de tu vida",,
Tu mente siempre va a tender a buscar aquello que cree que no tiene o que le falta,,
"El amor por tanto, da sin esperar nada a cambio debido a su naturaleza incondicional, libre de condiciones o contratos",,
"El cuerpo es el vehiculo que usa la mente para vivir una experiencia determindada. El cuerpo es la consecuencia de la mente, por lo que, el cuerop opera en el nvel de los efectos no de las causas",,
